Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal;Condiciones de Venta;Equivalente Terapeutico
N-564/20;FLEXIVE CREMA TÓPICA 35% (SYMPHYTUM OFFICINALE L.);2015-07-21 00:00:00;PROCTER & GAMBLE CHILE LTDA.;;;Directa;
B-2539/20;FLUARIX TETRA VACUNA ANTIGRIPAL TETRAVALENTE SUSPENSIÓN INYECTABLE (VIRIÓN FRACCIONADO INACTIVADO);2015-09-15 00:00:00;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;"A/Victoria/2570/2019 (H1N1) Pdm09-Cepa Similar (A/Victoria/2570/2019;Ivr-215);A/Hong Kong/2671/2019 (H3N2)- Cepa Similar (A/Hong Kong/2671/2019;Nib-121);B/Washington/02/2019-Cepa Similar (B/Washington/02/2019;Tipo Salvaje) (Linaje Victoria)";;Directa;
H-321/18;FLUCOCCINUM COMPRIMIDOS;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
N-486/20;FLUIDOX FORTE JARABE 70 mg/5 mL;2010-06-22 00:00:00;LABORATORIOS RECALCINE S.A.;;;Directa;
N-457/17;FLUIDOX JARABE 35 mg/5 mL;2007-12-31 00:00:00;LABORATORIOS RECALCINE S.A.;;;Directa;
H-1239/17;FLUK GLÓBULOS;2017-12-28 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-7781/16;FLUOR AID SOLUCIÓN PARA COLUTORIO BUCAL 0,05%;1995-11-16 00:00:00;LABORATORIOS DENTAID S.A.;SODIO FLUORURO;;Directa;
F-18906/21;FLUOR-KIN MENTA FORTE PASTA DENTÍFRICA;2011-09-27 00:00:00;MEGALABS CHILE S.A.;SODIO FLUORURO;;Directa;
F-3728/20;FOILLE UNGÜENTO TÓPICO;1985-04-30 00:00:00;SYNTHON CHILE LTDA.;ALCOHOL BENCILICO//BENZOCAINA;;Directa;
N-404/20;FORMULA I EXTRACTO FLUIDO SOLUCIÓN ORAL PARA GOTAS;1989-03-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1010/21;FÓRMULA II ESPECIAL SOLUCIÓN PARA GOTAS ORALES;1990-01-16 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
N-418/20;FORMULA II EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;1988-12-19 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-18177/20;FRAGIDERM UNGÜENTO DÉRMICO;2010-07-28 00:00:00;MINTLAB Co. S.A.;ALCOHOL BENCILICO//BENZOCAINA;;Directa;
F-21548/19;FREEGEN SOLUCIÓN OFTÁLMICA 0,5% (CARBOXIMETILCELULOSA SÓDICA);2014-11-21 00:00:00;ESPECIALIDADES OFTALMOLÓGICAS SUCURSAL CHILE SPA;CARBOXIMETILCELULOSA SÓDICA;;Directa;
F-18076/20;FRESHMEL COMPRIMIDOS 5 mg;2010-06-17 00:00:00;LABORATORIO CHILE S.A.;CLORHEXIDINA;;Directa;
F-306/17;FRESHMEL MENTA FRESCA COMPRIMIDOS 5 mg;1997-12-29 00:00:00;LABORATORIO CHILE S.A.;CLORHEXIDINA;;Directa;
F-8417/21;FRESHMEL MIEL LIMÓN COMPRIMIDOS 5 mg;1991-10-03 00:00:00;LABORATORIO CHILE S.A.;CLORHEXIDINA;;Directa;
F-5484/20;FRESHMEL TOS COMPRIMIDOS DE DISOLUCIÓN BUCAL;2000-10-24 00:00:00;LABORATORIO CHILE S.A.;CLORHEXIDINA//NOSCAPINA;;Directa;
F-1201/18;FRUNALIA POLVO EFERVESCENTE;1999-03-11 00:00:00;LABORATORIO PASTEUR S.A.;ACIDO TARTARICO//BICARBONATO SODICO;;Directa;
F-11661/21;FRUTASAL KNOP POLVO;1992-03-30 00:00:00;KNOP LABORATORIOS S.A.;ACIDO TARTARICO//BICARBONATO SODICO;;Directa;
H-813/20;FUCUS TM COMPRIMIDOS;1988-12-27 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-734/20;FUCUS - PHYTOLACCA COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1989-06-01 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-755/20;FUCUS ESPECIAL COMPRIMIDOS;1988-07-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-747/20;FUCUS TM SOLUCIÓN PARA GOTAS ORALES;1988-08-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-16819/18;FUNGOS CREMA DÉRMICA 1 %;2008-05-22 00:00:00;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;;Directa;
F-16821/18;FUNGOS POLVO TÓPICO 1 %;2008-05-22 00:00:00;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;;Directa;
F-16820/18;FUNGOS SOLUCIÓN TÓPICA 1%;2008-05-22 00:00:00;LABORATORIO PASTEUR S.A.;CLOTRIMAZOL;;Directa;
H-717/20;G.U.G./X SOLUCIÓN PARA GOTAS ORALES;1989-02-08 00:00:00;LAURA XIMENA POLANCO GONZÁLEZ;;;Directa;
H-738/20;GALEGA D4 SOLUCIÓN PARA GOTAS ORALES;1988-10-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-10837/21;GASOPAX COMPRIMIDOS MASTICABLES;1997-03-26 00:00:00;LABORATORIOS PRATER S.A.;ALUMINIO HIDROXIDO//MAGNESIO HIDROXIDO//SIMETICONA;;Directa;
H-950/21;GASTRICUMEEL COMPRIMIDOS SUBLINGUALES;2001-06-05 00:00:00;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;;Directa;
F-26409/21;GASTROALIV COMPRIMIDOS MASTICABLES 262 mg (BISMUTO SUBSALICILATO);2021-09-22 00:00:00;LABORATORIO MAVER S.A.;BISMUTO SUBSALICILATO;;Directa;
F-22895/21;GASTROALIV SUSPENSIÓN ORAL 262,5 mg/15 mL (SUBSALICILATO DE BISMUTO);2016-07-20 00:00:00;LABORATORIO MAVER S.A.;Bismuto Subsalicilato;;Directa;
H-1244/18;GASTROK GLÓBULOS;2018-10-03 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-17273/18;GAVISCON DOBLE ACCIÓN COMPRIMIDOS MASTICABLES (BICARBONATO DE SODIO/ CALCIO CARBONATO/ SODIO ALGINATO);2008-12-16 00:00:00;RECKITT BENCKISER CHILE S.A.;BICARBONATO SODICO//CALCIO CARBONATO//SODIO ALGINATO;;Directa;
F-17274/18;GAVISCON DOBLE ACCIÓN SUSPENSIÓN ORAL (BICARBONATO DE SODIO/ CALCIO CARBONATO/ SODIO ALGINATO);2008-12-16 00:00:00;RECKITT BENCKISER CHILE S.A.;BICARBONATO SODICO//CALCIO CARBONATO//SODIO ALGINATO;;Directa;
F-17341/19;GAVISCON MENTA 250 COMPRIMIDOS MASTICABLES;2009-02-10 00:00:00;RECKITT BENCKISER CHILE S.A.;ALGINATO SODICO//BICARBONATO SODICO//CALCIO CARBONATO;;Directa;
F-3749/20;GAVISCON SUSPENSIÓN ORAL;1984-03-13 00:00:00;RECKITT BENCKISER CHILE S.A.;CALCIO CARBONATO//SODIO ALGINATO//SODIO BICARBONATO;;Directa;
F-23326/17;GAVISCON SUSPENSIÓN ORAL, EN SOBRES;2017-01-27 00:00:00;RECKITT BENCKISER CHILE S.A.;BICARBONATO SODICO//CALCIO CARBONATO//SODIO ALGINATO;;Directa;
B-2174/21;GC-FLU PEDIÁTRICA VACUNA ANTIINFLUENZA INACTIVADA FRACCIONADA SUSPENSIÓN INYECTABLE;2011-03-07 00:00:00;LABORATORIO BIOSANO S.A.;;;Directa;
B-2173/21;GC-FLU VACUNA ANTIINFLUENZA INACTIVADA, FRACCIONADA SUSPENSIÓN INYECTABLE;2011-03-07 00:00:00;LABORATORIO BIOSANO S.A.;;;Directa;
F-22972/21;GEA ARTROM CÁPSULAS;2016-08-12 00:00:00;MINTLAB Co. S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
F-14816/20;GEA ARTROM COMPRIMIDOS;2005-06-06 00:00:00;MINTLAB Co. S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
F-22778/21;GEA ARTROM POLVO PARA SOLUCIÓN ORAL;2016-06-14 00:00:00;MINTLAB Co. S.A.;CONDROITINA//GLUCOSAMINA;;Directa;
N-614/20;GEAHELIX JARABE 35 mg/5mL (HEDERA HELIX L);2020-07-28 00:00:00;KNOP LABORATORIOS S.A.;HEDERA HELIX L. EXTRACTO SECO DE HOJAS (4-8:1);;Directa;
N-372/20;GEALAX COMPRIMIDOS 500 mg;2005-08-26 00:00:00;MINTLAB Co. S.A.;;;Directa;
H-881/20;GEAPASS SOLUCIÓN PARA GOTAS ORALES;1988-09-14 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-782/20;GELSEMIUM D6 COMPRIMIDOS;1988-04-27 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1172/19;GELSENIUM D6 GLÓBULOS;2009-09-17 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
F-9895/16;GENIOL COMPRIMIDOS MASTICABLES 80 mg;1996-12-21 00:00:00;MINTLAB Co. S.A.;PARACETAMOL;;Directa;
F-13238/18;GENIOL SOLUCIÓN ORAL PARA GOTAS 100 mg/mL;2003-11-26 00:00:00;MINTLAB Co. S.A.;PARACETAMOL;;Directa;
F-6908/20;GENIOL COMPRIMIDOS 500 mg;1986-02-14 00:00:00;MINTLAB Co. S.A.;PARACETAMOL;;Directa;TRUE
F-23774/18;GENIOL COMPRIMIDOS 500 mg (PARACETAMOL);2018-04-16 00:00:00;MINTLAB Co. S.A.;Paracetamol;;Directa;TRUE
F-17951/20;GENIOL COMPRIMIDOS MASTICABLES 160 mg;2010-03-16 00:00:00;MINTLAB Co. S.A.;PARACETAMOL;;Directa;
F-14192/19;GENIOL COMPUESTO CON CLORFENAMINA POLVO PARA SOLUCIÓN ORAL;2004-12-22 00:00:00;MINTLAB Co. S.A.;ACIDO ASCORBICO//CAFEINA//CLORFENAMINA//NOSCAPINA//PARACETAMOL;;Directa;
F-14211/19;GENIOL COMPUESTO DN POLVO PARA SOLUCIÓN ORAL;2004-12-22 00:00:00;MINTLAB Co. S.A.;ACIDO ASCORBICO//CAFEINA//CLORFENAMINA//NOSCAPINA//PARACETAMOL;;Directa;
F-14191/19;GENIOL COMPUESTO POLVO PARA SOLUCIÓN ORAL;2004-12-22 00:00:00;MINTLAB Co. S.A.;ACIDO ASCORBICO//CAFEINA//NOSCAPINA//PARACETAMOL;;Directa;
F-20941/19;GERMOSEPT SOLUCIÓN TÓPICA 0,175%;2014-03-04 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;BENZALCONIO CLORURO;;Directa;
F-23750/18;GESIDOL COMPRIMIDOS 1 g (PARACETAMOL);2018-03-22 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;Paracetamol;;Directa;TRUE
F-19506/17;GESIDOL COMPRIMIDOS 500 mg (PARACETAMOL);2012-06-25 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;TRUE
F-19078/16;GESIDOL COMPRIMIDOS 500 mg (PARACETAMOL);2011-11-30 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;TRUE
F-18413/20;GESIDOL INFANTIL COMPRIMIDOS MASTICABLES 160 mg;2010-11-26 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;
F-24680/19;GESIDOL INFANTIL COMPRIMIDOS MASTICABLES 160 mg (PARACETAMOL);2019-02-26 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;
F-24575/19;GESIDOL INFANTIL COMPRIMIDOS MASTICABLES 80 mg (PARACETAMOL);2019-01-23 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;
F-23920/18;GESIDOL INFANTIL JARABE 120 mg/5 mL;2018-07-03 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;
F-9148/21;GESIDOL INFANTIL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL;2001-10-05 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;
F-24178/18;GESIDOL INFANTIL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL (PARACETAMOL);2018-10-17 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;
F-12277/17;GESIDOL MUJER COMPRIMIDOS;2002-07-15 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;MEPIRAMINA//PAMABRON//PARACETAMOL;;Directa;
F-10008/21;GESIDOL SUPOSITORIOS INFANTILES 125 mg;1990-07-06 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;PARACETAMOL;;Directa;
F-13243/18;GESIPROCT CREMA RECTAL;2003-11-06 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;LIDOCAINA//TRIBENOSIDO;;Directa;
F-26056/21;GESIPROCT CREMA RECTAL (LIDOCAÍNA//TRIBENÓSIDO);2021-03-29 00:00:00;EUROFARMA CHILE S.A.;LIDOCAINA//TRIBENOSIDO;;Directa;
F-25690/20;GESTROKEM COMPRIMIDOS 1,5 mg (LEVONORGESTREL);2020-09-21 00:00:00;ASCEND LABORATORIES S.p.A.;LEVONORGESTREL;;Directa;TRUE
H-1002/21;GINSENG T.M., SOLUCIÓN PARA GOTAS ORALES;1992-02-26 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-11658/21;GLICERINA ADULTOS SUPOSITORIOS 2,31 g;1997-06-18 00:00:00;LABORATORIO PASTEUR S.A.;GLICEROL;;Directa;
F-24615/19;GLICERINA SUPOSITORIOS 1 g;2019-01-31 00:00:00;LABORATORIO HOSPIFARMA CHILE LTDA.;GLICERINA;;Directa;
F-2642/19;GLICERINA SUPOSITORIOS 1 g;1978-02-01 00:00:00;LABORATORIO VALMA SPA;GLICERINA;;Directa;
F-25914/21;GLICERINA SUPOSITORIOS 2 g;2021-01-12 00:00:00;BPH S.A.;GLICERINA;;Directa;
F-6377/20;GLICERINA SUPOSITORIOS 2 g;1986-10-28 00:00:00;LABORATORIO VALMA SPA;GLICERINA;;Directa;
F-6379/20;GLICERINA SUPOSITORIOS 3 g;1978-02-01 00:00:00;LABORATORIO VALMA SPA;GLICERINA;;Directa;
F-24606/19;GLICERINA SUPOSITORIOS 3 g;2019-01-31 00:00:00;LABORATORIO HOSPIFARMA CHILE LTDA.;GLICERINA;;Directa;
F-6378/20;GLICERINA SUPOSITORIOS 3,5 g;1986-10-31 00:00:00;LABORATORIO VALMA SPA;GLICEROL;;Directa;
H-333/18;GLÓBULO COMPUESTO N°49;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-281/18;GLÓBULO COMPUESTO Nº 1;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-291/18;GLÓBULO COMPUESTO Nº 10;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-292/18;GLÓBULO COMPUESTO Nº 10 A;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-293/18;GLÓBULO COMPUESTO Nº 11;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-294/18;GLÓBULO COMPUESTO Nº 12;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-295/18;GLÓBULO COMPUESTO Nº 13;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-296/18;GLÓBULO COMPUESTO Nº 14;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-297/18;GLÓBULO COMPUESTO Nº 15;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-298/18;GLÓBULO COMPUESTO Nº 15A;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-299/18;GLÓBULO COMPUESTO Nº 16;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-300/18;GLÓBULO COMPUESTO Nº 17;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-301/18;GLÓBULO COMPUESTO Nº 18;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-302/18;GLÓBULO COMPUESTO Nº 19;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-282/18;GLÓBULO COMPUESTO Nº 2;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-303/18;GLÓBULO COMPUESTO Nº 20;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-304/18;GLÓBULO COMPUESTO Nº 21;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-305/18;GLÓBULO COMPUESTO Nº 22;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-306/18;GLÓBULO COMPUESTO Nº 23;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-307/18;GLÓBULO COMPUESTO Nº 24;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-308/18;GLÓBULO COMPUESTO Nº 25;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-309/18;GLÓBULO COMPUESTO Nº 26;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-310/18;GLÓBULO COMPUESTO Nº 27;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-311/18;GLÓBULO COMPUESTO Nº 28;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-312/18;GLÓBULO COMPUESTO Nº 28A;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-313/18;GLÓBULO COMPUESTO Nº 29;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-283/18;GLÓBULO COMPUESTO Nº 3;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-314/18;GLÓBULO COMPUESTO Nº 30;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-315/18;GLÓBULO COMPUESTO Nº 31;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-317/18;GLÓBULO COMPUESTO Nº 33;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-318/18;GLÓBULO COMPUESTO Nº 34;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-319/18;GLÓBULO COMPUESTO Nº 35;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-320/18;GLÓBULO COMPUESTO Nº 36;1958-03-14 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-322/18;GLÓBULO COMPUESTO Nº 38;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-323/18;GLÓBULO COMPUESTO Nº 38A;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-284/18;GLÓBULO COMPUESTO Nº 4;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-324/18;GLÓBULO COMPUESTO Nº 40;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-326/18;GLÓBULO COMPUESTO Nº 42;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-327/18;GLÓBULO COMPUESTO Nº 43;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-328/18;GLÓBULO COMPUESTO Nº 44;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-329/18;GLÓBULO COMPUESTO Nº 45;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-330/18;GLÓBULO COMPUESTO Nº 46;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-331/18;GLÓBULO COMPUESTO Nº 47;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-332/18;GLÓBULO COMPUESTO Nº 48;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-285/18;GLÓBULO COMPUESTO Nº 5;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-286/18;GLÓBULO COMPUESTO Nº 5 A;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-334/18;GLÓBULO COMPUESTO Nº 50;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-335/18;GLÓBULO COMPUESTO Nº 51;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-336/18;GLÓBULO COMPUESTO Nº 53;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-337/18;GLÓBULO COMPUESTO Nº 54;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-338/18;GLÓBULO COMPUESTO Nº 55;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-340/18;GLÓBULO COMPUESTO Nº 57;1958-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-341/18;GLÓBULO COMPUESTO Nº 58;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-287/18;GLÓBULO COMPUESTO Nº 6;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-288/18;GLÓBULO COMPUESTO Nº 7;1958-03-10 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-289/18;GLÓBULO COMPUESTO Nº 8;1958-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-290/18;GLÓBULO COMPUESTO Nº 9;1958-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-859/20;GLÓBULOS COMPLEJOS 101;1989-03-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-848/20;GLÓBULOS COMPLEJOS 104;1989-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-866/20;GLÓBULOS COMPLEJOS 105;1989-04-03 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-839/20;GLÓBULOS COMPLEJOS 106;1989-03-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-840/20;GLÓBULOS COMPLEJOS 107;1989-04-05 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-835/20;GLÓBULOS COMPLEJOS 108;1989-03-01 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-888/20;GLÓBULOS COMPLEJOS 109;1989-03-16 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-844/20;GLÓBULOS COMPLEJOS 110;1989-03-16 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-871/20;GLÓBULOS COMPLEJOS 114;1989-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-862/20;GLÓBULOS COMPLEJOS 115;1989-03-16 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-854/20;GLÓBULOS COMPLEJOS 117;1989-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-846/20;GLÓBULOS COMPLEJOS 118;1989-03-27 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-850/20;GLÓBULOS COMPLEJOS 119;1989-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-864/20;GLÓBULOS COMPLEJOS 121;1989-03-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-852/20;GLÓBULOS COMPLEJOS 122;1989-04-05 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-841/20;GLÓBULOS COMPLEJOS 123;1989-04-03 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-842/20;GLÓBULOS COMPLEJOS 125;1989-04-03 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-860/20;GLÓBULOS COMPLEJOS 126;1989-05-04 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-861/20;GLÓBULOS COMPLEJOS 128;1989-04-03 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-855/20;GLÓBULOS COMPLEJOS 129;1989-04-07 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-849/20;GLÓBULOS COMPLEJOS 130;1989-04-07 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1011/21;GLÓBULOS COMPLEJOS 131;1990-02-08 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-865/20;GLÓBULOS COMPLEJOS 133;1989-03-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-851/20;GLÓBULOS COMPLEJOS 135;1989-04-07 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-857/20;GLÓBULOS COMPLEJOS 138;1989-04-12 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-837/20;GLÓBULOS COMPLEJOS 140;1989-04-12 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-891/20;GLÓBULOS COMPLEJOS 141;1989-03-29 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-889/20;GLÓBULOS COMPLEJOS 142;1989-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-847/20;GLÓBULOS COMPLEJOS 143;1989-03-02 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-892/20;GLÓBULOS COMPLEJOS 145;1989-03-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-869/20;GLÓBULOS COMPLEJOS 146;1989-03-27 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-872/20;GLÓBULOS COMPLEJOS 147;1989-03-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-858/20;GLÓBULOS COMPLEJOS 149;1989-03-29 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-838/20;GLÓBULOS COMPLEJOS 150;1989-03-27 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-856/20;GLÓBULOS COMPLEJOS 151;1989-03-06 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-853/20;GLÓBULOS COMPLEJOS 152;1989-03-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-843/20;GLÓBULOS COMPLEJOS 153;1989-03-02 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-867/20;GLÓBULOS COMPLEJOS 156;1989-03-06 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-868/20;GLÓBULOS COMPLEJOS 157;1989-03-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1012/21;GLÓBULOS COMPLEJOS 158;2002-11-13 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-836/20;GLÓBULOS COMPLEJOS 159;1989-05-04 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-890/20;GLÓBULOS COMPLEJOS 160;1989-05-04 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-981/21;GLÓBULOS HOMEOPÁTICOS SIMPLES C200;1987-09-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1073/21;GLÓBULOS HOMEOPÁTICOS SIMPLES C200;1993-07-06 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
H-1072/21;GLÓBULOS HOMEOPÁTICOS SIMPLES C30;1993-07-06 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
H-979/21;GLÓBULOS HOMEOPÁTICOS SIMPLES C30;1987-09-14 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
